scenario,metric,metric_label,comparison,adjustment,median_r,proportion_significant
S_night_only,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.24164527548413234,0.442
S_sens080,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.34326532258515646,0.87
S_sens090,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.34326532258515646,0.87
S_sens095,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.30950993525716464,0.754
S_sens099,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.16134367912838674,0.134
S_strong_beams,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–DOF,Bonferroni,0.34540272140707984,0.846
S0_no_qc,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.05937888969217143,0.006
S1_baseline,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.05490322931049988,0.0025
S_agbd_low_uncert,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.06469943156850555,0
S_night_only,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.09067217295495505,0.02
S_sens080,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.052147476869325415,0.002
S_sens090,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.052147476869325415,0.002
S_sens095,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.06427193617334287,0.008
S_sens099,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.14110904251279577,0.076
S_strong_beams,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–MOF,Bonferroni,0.06765798586127836,0.008
S0_no_qc,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.06802309040892122,0.008
S1_baseline,PAI,"Plant area index (PAI, m^2 m^-2)",SDF–SSdF,Bonferroni,0.06530505547504291,0.007
