variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario,r_base,prop_sig_base,delta_r,delta_prop_sig
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,0.40044026952279854,0.91,S_sens095,0.3753672967455416,0.9025,0.025072972777256952,0.007500000000000062
fhd_normal,FES - FOD,SSdF–DOF,FDR,0.40044026952279854,0.97,S_sens095,0.3753672967455416,0.9555,0.025072972777256952,0.014499999999999957
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,0.10119578095087156,0.034,S_sens095,0.10443324384336733,0.0455,-0.0032374628924957682,-0.011499999999999996
fhd_normal,FES - FOM,SSdF–MOF,FDR,0.10119578095087156,0.126,S_sens095,0.10443324384336733,0.14,-0.0032374628924957682,-0.014000000000000012
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,0.2938040193757748,0.682,S_sens095,0.27072723216247985,0.5935,0.02307678721329498,0.08850000000000002
fhd_normal,FOD - FOM,DOF–MOF,FDR,0.2938040193757748,0.822,S_sens095,0.27072723216247985,0.777,0.02307678721329498,0.04499999999999993
pai,FED - FES,SDF–SSdF,Bonferroni,0.06564938627620909,0.012,S_sens095,0.06530505547504291,0.007,3.4433080116617887e-4,0.005
pai,FED - FES,SDF–SSdF,FDR,0.06564938627620909,0.052,S_sens095,0.06530505547504291,0.027,3.4433080116617887e-4,0.024999999999999998
pai,FED - FOD,SDF–DOF,Bonferroni,0.30950993525716464,0.754,S_sens095,0.3380315131930446,0.8635,-0.02852157793587995,-0.10950000000000004
pai,FED - FOD,SDF–DOF,FDR,0.30950993525716464,0.874,S_sens095,0.3380315131930446,0.9215,-0.02852157793587995,-0.04749999999999999
pai,FED - FOM,SDF–MOF,Bonferroni,0.06427193617334287,0.008,S_sens095,0.05490322931049988,0.0025,0.009368706862842989,0.0055
pai,FED - FOM,SDF–MOF,FDR,0.06427193617334287,0.03,S_sens095,0.05490322931049988,0.0125,0.009368706862842989,0.017499999999999998
pai,FES - FOD,SSdF–DOF,Bonferroni,0.36468878026123286,0.862,S_sens095,0.3605550676742469,0.857,0.0041337125869859714,0.0050000000000000044
pai,FES - FOD,SSdF–DOF,FDR,0.36468878026123286,0.898,S_sens095,0.3605550676742469,0.912,0.0041337125869859714,-0.014000000000000012
pai,FES - FOM,SSdF–MOF,Bonferroni,0.06282535983094167,0.008,S_sens095,0.0662005802201679,0.01,-0.003375220389226233,-0.002
pai,FES - FOM,SSdF–MOF,FDR,0.06282535983094167,0.028,S_sens095,0.0662005802201679,0.0345,-0.003375220389226233,-0.006500000000000002
pai,FOD - FOM,DOF–MOF,Bonferroni,0.3633121048285305,0.858,S_sens095,0.34657061674689765,0.846,0.016741488081632838,0.01200000000000001
pai,FOD - FOM,DOF–MOF,FDR,0.3633121048285305,0.906,S_sens095,0.34657061674689765,0.913,0.016741488081632838,-0.007000000000000006
agbd,FED - FES,SDF–SSdF,Bonferroni,0.3789387457927388,0.788,S_sens099,0.42138406180621046,0.975,-0.04244531601347168,-0.18699999999999994
agbd,FED - FES,SDF–SSdF,FDR,0.3789387457927388,0.904,S_sens099,0.42138406180621046,0.995,-0.04244531601347168,-0.09099999999999997
agbd,FED - FOD,SDF–DOF,Bonferroni,0.07676061382103587,0.008,S_sens099,0.06275617077408308,0.001,0.014004443046952794,0.007
agbd,FED - FOD,SDF–DOF,FDR,0.07676061382103587,0.04,S_sens099,0.06275617077408308,0.032,0.014004443046952794,0.008
