variavel,comparacao,comparacao_en,ajuste,z,N_ref,r,p_adj,p_unadj,scenario
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,-0.11646382089474755,150,0.009509231156234043,1,0.9072849576781304,S_sens099
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,-4.703010226296857,164,0.3672433996206823,1.5381214460576523e-5,2.5635357434294206e-6,S_sens099
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,2.8597649344676492,83,0.31389998177630685,0.025437307764852667,0.004239551294142111,S_sens099
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,-0.6445698882712096,97,0.06544615642167781,1,0.5192059536943421,S_sens099
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,3.61249361571054,153,0.2920527990087061,0.0018195994531307648,3.0326657552179413e-4,S_sens099
fhd_normal,FED - FES,SDF–SSdF,FDR,3.642918547501521,94,0.3757383588283292,8.086924742764629e-4,2.695641580921543e-4,S_sens099
fhd_normal,FED - FOD,SDF–DOF,FDR,-0.11646382089474755,150,0.009509231156234043,0.9072849576781304,0.9072849576781304,S_sens099
fhd_normal,FES - FOD,SSdF–DOF,FDR,-4.703010226296857,164,0.3672433996206823,1.5381214460576523e-5,2.5635357434294206e-6,S_sens099
fhd_normal,FED - FOM,SDF–MOF,FDR,2.8597649344676492,83,0.31389998177630685,0.006359326941213167,0.004239551294142111,S_sens099
fhd_normal,FES - FOM,SSdF–MOF,FDR,-0.6445698882712096,97,0.06544615642167781,0.6230471444332105,0.5192059536943421,S_sens099
fhd_normal,FOD - FOM,DOF–MOF,FDR,3.61249361571054,153,0.2920527990087061,6.065331510435883e-4,3.0326657552179413e-4,S_sens099
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,4.504967290725429,136,0.38629775823634616,3.9829900110064996e-5,6.638316685010833e-6,S_strong_beams
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.3927296726876699,186,0.02879633674146358,1,0.6945191523333982,S_strong_beams
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,-5.163745694946105,214,0.3529863887799347,1.4523389966469532e-6,2.420564994411589e-7,S_strong_beams
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,3.8005088100036146,106,0.36913804769207403,8.663957031286848e-4,1.443992838547808e-4,S_strong_beams
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,-0.28826548651813777,134,0.024902345198786847,1,0.7731435240869227,S_strong_beams
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,4.1225156950767845,184,0.3039158891806933,2.248542408534613e-4,3.747570680891022e-5,S_strong_beams
altura_dossel,FED - FES,SDF–SSdF,FDR,4.504967290725429,136,0.38629775823634616,1.9914950055032498e-5,6.638316685010833e-6,S_strong_beams
altura_dossel,FED - FOD,SDF–DOF,FDR,0.3927296726876699,186,0.02879633674146358,0.8334229828000779,0.6945191523333982,S_strong_beams
altura_dossel,FES - FOD,SSdF–DOF,FDR,-5.163745694946105,214,0.3529863887799347,1.4523389966469532e-6,2.420564994411589e-7,S_strong_beams
altura_dossel,FED - FOM,SDF–MOF,FDR,3.8005088100036146,106,0.36913804769207403,2.165989257821712e-4,1.443992838547808e-4,S_strong_beams
altura_dossel,FES - FOM,SSdF–MOF,FDR,-0.28826548651813777,134,0.024902345198786847,0.7731435240869227,0.7731435240869227,S_strong_beams
