variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario
cover,FED - FOM,SDF–MOF,Bonferroni,0.06461623580627712,0.012,S_sens095
cover,FED - FOM,SDF–MOF,FDR,0.06461623580627712,0.03,S_sens095
cover,FES - FOD,SSdF–DOF,Bonferroni,0.36427759639378143,0.858,S_sens095
cover,FES - FOD,SSdF–DOF,FDR,0.36427759639378143,0.912,S_sens095
cover,FES - FOM,SSdF–MOF,Bonferroni,0.061998561687067924,0.008,S_sens095
cover,FES - FOM,SSdF–MOF,FDR,0.061998561687067924,0.028,S_sens095
cover,FOD - FOM,DOF–MOF,Bonferroni,0.36324336175386485,0.862,S_sens095
cover,FOD - FOM,DOF–MOF,FDR,0.36324336175386485,0.912,S_sens095
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,0.4587215083801688,0.996,S_sens095
fhd_normal,FED - FES,SDF–SSdF,FDR,0.4587215083801688,0.998,S_sens095
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.08128664472058864,0.038,S_sens095
fhd_normal,FED - FOD,SDF–DOF,FDR,0.08128664472058864,0.094,S_sens095
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,0.35814688554809915,0.916,S_sens095
fhd_normal,FED - FOM,SDF–MOF,FDR,0.35814688554809915,0.974,S_sens095
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,0.40044026952279854,0.91,S_sens095
fhd_normal,FES - FOD,SSdF–DOF,FDR,0.40044026952279854,0.97,S_sens095
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,0.10119578095087156,0.034,S_sens095
fhd_normal,FES - FOM,SSdF–MOF,FDR,0.10119578095087156,0.126,S_sens095
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,0.2938040193757748,0.682,S_sens095
fhd_normal,FOD - FOM,DOF–MOF,FDR,0.2938040193757748,0.822,S_sens095
pai,FED - FES,SDF–SSdF,Bonferroni,0.06564938627620909,0.012,S_sens095
pai,FED - FES,SDF–SSdF,FDR,0.06564938627620909,0.052,S_sens095
pai,FED - FOD,SDF–DOF,Bonferroni,0.30950993525716464,0.754,S_sens095
pai,FED - FOD,SDF–DOF,FDR,0.30950993525716464,0.874,S_sens095
pai,FED - FOM,SDF–MOF,Bonferroni,0.06427193617334287,0.008,S_sens095
pai,FED - FOM,SDF–MOF,FDR,0.06427193617334287,0.03,S_sens095
pai,FES - FOD,SSdF–DOF,Bonferroni,0.36468878026123286,0.862,S_sens095
pai,FES - FOD,SSdF–DOF,FDR,0.36468878026123286,0.898,S_sens095
pai,FES - FOM,SSdF–MOF,Bonferroni,0.06282535983094167,0.008,S_sens095
pai,FES - FOM,SSdF–MOF,FDR,0.06282535983094167,0.028,S_sens095
pai,FOD - FOM,DOF–MOF,Bonferroni,0.3633121048285305,0.858,S_sens095
pai,FOD - FOM,DOF–MOF,FDR,0.3633121048285305,0.906,S_sens095
agbd,FED - FES,SDF–SSdF,Bonferroni,0.3789387457927388,0.788,S_sens099
agbd,FED - FES,SDF–SSdF,FDR,0.3789387457927388,0.904,S_sens099
agbd,FED - FOD,SDF–DOF,Bonferroni,0.07676061382103587,0.008,S_sens099
agbd,FED - FOD,SDF–DOF,FDR,0.07676061382103587,0.04,S_sens099
